$ /home/sdinh/sandbox/OptiUNO/external/uno/bin/uno_ampl /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs21mod.nl constraint_relaxation_strategy=feasibility_restoration inequality_handling_method=interior_point hessian_model=exact inertia_correction_strategy=none globalization_mechanism=TR globalization_strategy=fletcher_filter_method time_limit=20.0

Automatically picked the filtersqp preset
Original model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs21mod.nl
7 variables, 7 constraints (0 equality, 7 inequality)
Problem type: NLP
Reformulated model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs21mod.nl -> no fixed bounds -> equality constrained -> bounds relaxed
14 variables, 7 constraints (7 equality, 0 inequality)

Non-default options:
QP_solver = BQPD

──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Iterations
 Major  Minor  Penalty   Barrier   Barrier   Radius    Phase ||Step||  Objective  Infeas    Statio    Compl     Status        
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 0      -      -         -         -         1.00e+01  OPT   -         -9.899e+01 2.42e+01  3.00e+00  7.00e+01  initial point 
 1      1      -         1.00e-01  -         1.00e+01  OPT   3.07e+00  -9.155e+01 7.31e-01  4.30e+01  2.65e-11  ✔ (h-type)    
 34     1      -         1.00e-01  -         2.15e+10  OPT   2.15e+10  1.025e+21  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 35     1      -         1.00e-01  -         4.29e+10  OPT   4.29e+10  4.099e+21  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 36     1      -         1.00e-01  -         8.59e+10  OPT   8.59e+10  1.640e+22  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 37     1      -         1.00e-01  -         1.72e+11  OPT   1.72e+11  6.559e+22  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 38     1      -         1.00e-01  -         3.44e+11  OPT   3.44e+11  2.624e+23  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 39     1      -         1.00e-01  -         6.87e+11  OPT   6.87e+11  1.049e+24  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 40     1      -         1.00e-01  -         1.37e+12  OPT   1.37e+12  4.198e+24  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 41     1      -         1.00e-01  -         2.75e+12  OPT   2.75e+12  1.679e+25  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 42     1      -         1.00e-01  -         5.50e+12  OPT   5.50e+12  6.716e+25  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 43     1      -         1.00e-01  -         1.10e+13  OPT   1.10e+13  2.687e+26  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 44     1      -         1.00e-01  -         2.20e+13  OPT   2.20e+13  1.075e+27  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 45     1      -         1.00e-01  -         4.40e+13  OPT   4.40e+13  4.298e+27  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 46     1      -         1.00e-01  -         8.80e+13  OPT   8.80e+13  1.719e+28  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 47     1      -         1.00e-01  -         1.76e+14  OPT   1.76e+14  6.877e+28  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 48     1      -         1.00e-01  -         3.52e+14  OPT   3.52e+14  2.751e+29  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 49     1      -         1.00e-01  -         7.04e+14  OPT   7.04e+14  1.100e+30  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 50     1      -         1.00e-01  -         1.41e+15  OPT   1.41e+15  4.402e+30  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 51     1      -         1.00e-01  -         2.81e+15  OPT   2.81e+15  1.761e+31  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 52     1      -         1.00e-01  -         5.63e+15  OPT   5.63e+15  7.043e+31  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 53     1      -         1.00e-01  -         1.13e+16  OPT   1.13e+16  2.817e+32  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 54     1      -         1.00e-01  -         2.25e+16  OPT   2.25e+16  1.127e+33  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 55     1      -         1.00e-01  -         4.50e+16  OPT   4.50e+16  4.507e+33  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 56     1      -         1.00e-01  -         9.01e+16  OPT   9.01e+16  1.803e+34  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 57     1      -         1.00e-01  -         1.80e+17  OPT   1.80e+17  7.212e+34  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 58     1      -         1.00e-01  -         3.60e+17  OPT   3.60e+17  2.885e+35  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 59     1      -         1.00e-01  -         7.21e+17  OPT   7.21e+17  1.154e+36  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 60     1      -         1.00e-01  -         1.44e+18  OPT   1.44e+18  4.615e+36  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 61     1      -         1.00e-01  -         2.88e+18  OPT   2.88e+18  1.846e+37  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 62     1      -         1.00e-01  -         5.76e+18  OPT   5.76e+18  7.385e+37  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 63     1      -         1.00e-01  -         1.15e+19  OPT   1.15e+19  2.954e+38  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 64     1      -         1.00e-01  -         2.31e+19  OPT   2.31e+19  1.182e+39  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 65     1      -         1.00e-01  -         4.61e+19  OPT   4.61e+19  4.726e+39  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 66     1      -         1.00e-01  -         9.22e+19  OPT   9.22e+19  1.890e+40  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 67     1      -         1.00e-01  -         1.84e+20  OPT   1.84e+20  7.562e+40  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 68     1      -         1.00e-01  -         3.69e+20  OPT   3.69e+20  3.025e+41  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 69     1      -         1.00e-01  -         7.38e+20  OPT   7.38e+20  1.210e+42  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 70     1      -         1.00e-01  -         1.48e+21  OPT   1.48e+21  4.840e+42  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 71     1      -         1.00e-01  -         2.95e+21  OPT   2.95e+21  1.936e+43  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 72     1      -         1.00e-01  -         5.90e+21  OPT   5.90e+21  7.743e+43  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 73     1      -         1.00e-01  -         1.18e+22  OPT   1.18e+22  3.097e+44  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 74     1      -         1.00e-01  -         2.36e+22  OPT   2.36e+22  1.239e+45  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 75     1      -         1.00e-01  -         4.72e+22  OPT   4.72e+22  4.956e+45  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 76     1      -         1.00e-01  -         9.44e+22  OPT   9.44e+22  1.982e+46  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 77     1      -         1.00e-01  -         1.89e+23  OPT   1.89e+23  7.929e+46  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 78     1      -         1.00e-01  -         3.78e+23  OPT   3.78e+23  3.172e+47  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 79     1      -         1.00e-01  -         7.56e+23  OPT   7.56e+23  1.269e+48  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 80     1      -         1.00e-01  -         1.51e+24  OPT   1.51e+24  5.075e+48  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 81     1      -         1.00e-01  -         3.02e+24  OPT   3.02e+24  2.030e+49  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 82     1      -         1.00e-01  -         6.04e+24  OPT   6.04e+24  8.119e+49  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 83     1      -         1.00e-01  -         1.21e+25  OPT   1.21e+25  3.248e+50  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 84     1      -         1.00e-01  -         2.42e+25  OPT   2.42e+25  1.299e+51  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 85     1      -         1.00e-01  -         4.84e+25  OPT   4.84e+25  5.196e+51  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 86     1      -         1.00e-01  -         9.67e+25  OPT   9.67e+25  2.079e+52  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 87     1      -         1.00e-01  -         1.93e+26  OPT   1.93e+26  8.314e+52  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 88     1      -         1.00e-01  -         3.87e+26  OPT   3.87e+26  3.326e+53  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 89     1      -         1.00e-01  -         7.74e+26  OPT   7.74e+26  1.330e+54  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 90     1      -         1.00e-01  -         1.55e+27  OPT   1.55e+27  5.321e+54  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 91     1      -         1.00e-01  -         3.09e+27  OPT   3.09e+27  2.128e+55  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 92     1      -         1.00e-01  -         6.19e+27  OPT   6.19e+27  8.514e+55  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 93     1      -         1.00e-01  -         1.24e+28  OPT   1.24e+28  3.406e+56  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 94     1      -         1.00e-01  -         2.48e+28  OPT   2.48e+28  1.362e+57  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 95     1      -         1.00e-01  -         4.95e+28  OPT   4.95e+28  5.449e+57  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 96     1      -         1.00e-01  -         9.90e+28  OPT   9.90e+28  2.180e+58  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 97     1      -         1.00e-01  -         1.98e+29  OPT   1.98e+29  8.718e+58  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 98     1      -         1.00e-01  -         3.96e+29  OPT   3.96e+29  3.487e+59  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 99     1      -         1.00e-01  -         7.92e+29  OPT   7.92e+29  1.395e+60  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 100    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.451e+60  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 101    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  6.564e+60  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 102    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.062e+61  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 103    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.573e+61  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 104    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.179e+61  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 105    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.890e+61  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 106    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.696e+61  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 107    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  4.607e+61  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 108    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  5.613e+61  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 109    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  6.724e+61  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 110    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  7.930e+61  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 111    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.241e+61  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 112    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.065e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 113    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.216e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 114    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.376e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 115    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.547e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 116    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.728e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 117    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.919e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 118    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.120e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 119    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.331e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 120    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.551e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 121    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.783e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 122    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.023e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 123    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.274e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 124    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.535e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 125    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.806e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 126    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  4.086e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 127    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  4.378e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 128    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  4.678e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 129    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  4.989e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 130    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  5.310e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 131    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  5.641e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 132    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  5.982e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 133    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  6.333e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 134    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  6.693e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 135    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  7.064e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 136    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  7.445e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 137    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  7.836e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 138    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  8.237e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 139    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  8.648e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 140    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.068e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 141    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.499e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 142    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  9.940e+62  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 143    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.039e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 144    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.085e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 145    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.132e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 146    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.180e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 147    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.229e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 148    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.280e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 149    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.331e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 150    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.383e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 151    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.436e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 152    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.490e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 153    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.545e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 154    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.601e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 155    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.658e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 156    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.716e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 157    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.775e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 158    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.835e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 159    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.896e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 160    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  1.959e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 161    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.022e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 162    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.086e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 163    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.151e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 164    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.217e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 165    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.284e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 166    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.352e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 167    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.421e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 168    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.491e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 169    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.562e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 170    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.634e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 171    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.707e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 172    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.782e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 173    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.857e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 174    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  2.933e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 175    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.010e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 176    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.088e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 177    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.167e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 178    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.247e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 179    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.328e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 180    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.410e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 181    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.493e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 182    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.577e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 183    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.662e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
 184    1      -         1.00e-01  -         1.58e+30  OPT   1.00e+30  3.749e+63  2.00e+00  nan       2.45e-11  ✔ (h-type)    
