$ /home/sdinh/sandbox/OptiUNO/quickRun/external/uno/bin/uno_ampl /home/sdinh/sandbox/OptiUNO/quickRun/models/nl/hs085.nl constraint_relaxation_strategy=feasibility_restoration inequality_handling_method=interior_point hessian_model=exact inertia_correction_strategy=primal_dual globalization_mechanism=LS globalization_strategy=waechter_filter_method time_limit=20.0

Automatically picked the filtersqp preset
Original model /home/sdinh/sandbox/OptiUNO/quickRun/models/nl/hs085.nl
5 variables, 48 constraints (0 equality, 48 inequality)
Problem type: NLP
Reformulated model /home/sdinh/sandbox/OptiUNO/quickRun/models/nl/hs085.nl -> no fixed bounds -> equality constrained -> bounds relaxed
53 variables, 48 constraints (48 equality, 0 inequality)

Non-default options:
linear_solver = MUMPS
libhsl_path = 

───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Iterations
 Major  Minor  Penalty   Barrier   Barrier   Steplength Phase Regulariz Regulariz ||Step||  Objective  Infeas    Statio    Compl     Status        
───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 0      -      -         -         -         -          OPT   -         -         -         -9.394e-01 5.94e+05  6.93e+00  8.74e+06  initial point 
 -      15     -         -         -         6.10e-05   -     -         -         2.20e+01  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      16     -         -         -         3.05e-05   -     -         -         1.10e+01  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      17     -         -         -         1.53e-05   -     -         -         5.51e+00  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      18     -         -         -         7.63e-06   -     -         -         2.75e+00  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      19     -         -         -         3.81e-06   -     -         -         1.38e+00  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      20     -         -         -         1.91e-06   -     -         -         6.89e-01  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      21     -         -         -         9.54e-07   -     -         -         3.44e-01  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      22     -         -         -         4.77e-07   -     -         -         1.72e-01  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      23     -         -         -         2.38e-07   -     -         -         8.61e-02  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      24     -         -         -         1.19e-07   -     -         -         4.30e-02  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      25     -         -         -         5.96e-08   -     -         -         2.15e-02  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      26     -         -         -         2.98e-08   -     -         -         1.08e-02  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      27     -         -         -         1.49e-08   -     -         -         5.38e-03  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      28     -         -         -         7.45e-09   -     -         -         2.69e-03  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      29     -         -         -         3.73e-09   -     -         -         1.34e-03  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      30     -         -         -         1.86e-09   -     -         -         6.72e-04  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      31     -         -         -         9.31e-10   -     -         -         3.36e-04  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      32     -         -         -         4.66e-10   -     -         -         1.68e-04  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      33     -         -         -         2.33e-10   -     -         -         8.40e-05  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      34     -         -         -         1.16e-10   -     -         -         4.20e-05  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      35     -         -         -         5.82e-11   -     -         -         2.10e-05  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      36     -         -         -         2.91e-11   -     -         -         1.05e-05  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      37     -         -         -         1.46e-11   -     -         -         5.25e-06  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      38     -         -         -         7.28e-12   -     -         -         2.63e-06  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      39     -         -         -         3.64e-12   -     -         -         1.31e-06  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      40     -         -         -         1.82e-12   -     -         -         6.57e-07  -1.281e+00 3.80e+05  -         -         ✘ (h-type)    
 -      41     -         -         -         9.09e-13   -     -         -         3.28e-07  -1.281e+00 3.80e+05  -         -         small step length
 -      1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         5.36e+05  -1.281e+00 3.80e+05  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         2.68e+05  -1.278e+00 3.79e+05  1.05e+01  9.34e+06  ✔ (Armijo)    
 7      1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         6.06e+05  -8.009e-01 4.17e+05  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         3.03e+05  -9.899e-01 3.61e+05  2.73e+01  9.30e+06  ✔ (Armijo)    
 8      1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         4.77e+05  -7.822e-01 3.31e+05  4.30e+01  8.70e+06  ✔ (Armijo)    
 9      1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         3.58e+05  -4.226e-01 2.94e+05  5.87e+01  7.44e+06  ✔ (Armijo)    
 10     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.39e+05  -3.956e-01 2.87e+05  1.09e+02  5.44e+06  ✔ (Armijo)    
 11     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.17e+05  -2.784e-01 2.12e+05  8.02e+01  2.94e+06  ✔ (Armijo)    
 12     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         1.21e+05  -9.779e-01 6.34e+04  3.45e+02  1.91e+06  ✔ (Armijo)    
 13     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         3.18e+04  -1.219e+00 4.48e+04  4.89e+02  1.40e+06  ✔ (Armijo)    
 14     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         1.36e+04  -1.221e+00 4.45e+04  4.90e+02  1.39e+06  ✔ (Armijo)    
 15     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         1.38e+04  -1.221e+00 4.45e+04  5.28e+02  1.26e+06  ✔ (Armijo)    
 16     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         1.33e+04  -1.272e+00 3.71e+04  5.28e+02  1.26e+06  ✔ (Armijo)    
 17     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         1.34e+04  -1.551e+00 1.12e+04  6.63e+02  7.85e+05  ✔ (Armijo)    
 18     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         4.52e+03  -1.568e+00 3.31e+03  8.28e+02  2.08e+05  ✔ (Armijo)    
 19     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.02e+03  -1.560e+00 1.28e+03  8.50e+02  1.28e+05  ✔ (Armijo)    
 20     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         7.39e+02  -1.559e+00 1.04e+03  8.69e+02  6.26e+04  ✔ (Armijo)    
 21     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         8.02e+02  -1.639e+00 6.46e+01  8.86e+02  4.84e+03  ✔ (Armijo)    
 22     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         4.90e+02  -1.659e+00 1.89e+01  8.87e+02  7.67e+02  ✔ (Armijo)    
 23     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         7.75e+02  -1.663e+00 8.31e+00  8.87e+02  9.17e+00  ✔ (Armijo)    
 24     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         3.63e+03  -1.663e+00 9.14e+00  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         1.82e+03  -1.663e+00 7.93e+00  -         -         ✘ (Armijo)    
 -      3      0.00e+00  -         -         2.50e-01   -     -         -         9.08e+02  -1.663e+00 8.12e+00  -         -         ✘ (Armijo)    
 -      4      0.00e+00  -         -         1.25e-01   -     -         -         4.54e+02  -1.663e+00 8.21e+00  -         -         ✘ (Armijo)    
 -      5      0.00e+00  -         -         6.25e-02   -     -         -         2.27e+02  -1.663e+00 8.26e+00  -         -         ✘ (Armijo)    
 -      6      0.00e+00  -         -         3.12e-02   -     -         -         1.14e+02  -1.663e+00 8.29e+00  -         -         ✘ (Armijo)    
 -      7      0.00e+00  -         -         1.56e-02   -     -         -         5.68e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      8      0.00e+00  -         -         7.81e-03   -     -         -         2.84e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      9      0.00e+00  -         -         3.91e-03   -     -         -         1.42e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      10     0.00e+00  -         -         1.95e-03   -     -         -         7.10e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      11     0.00e+00  -         -         9.77e-04   -     -         -         3.55e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      12     0.00e+00  -         -         4.88e-04   -     -         -         1.77e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      13     0.00e+00  -         -         2.44e-04   -     -         -         8.87e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      14     0.00e+00  -         -         1.22e-04   -     -         -         4.43e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      15     0.00e+00  -         -         6.10e-05   -     -         -         2.22e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      16     0.00e+00  -         -         3.05e-05   -     -         -         1.11e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      17     0.00e+00  -         -         1.53e-05   -     -         -         5.54e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      18     0.00e+00  -         -         7.63e-06   -     -         -         2.77e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      19     0.00e+00  -         -         3.81e-06   -     -         -         1.39e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      20     0.00e+00  -         -         1.91e-06   -     -         -         6.93e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      21     0.00e+00  -         -         9.54e-07   -     -         -         3.46e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      22     0.00e+00  -         -         4.77e-07   -     -         -         1.73e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      23     0.00e+00  -         -         2.38e-07   -     -         -         8.66e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      24     0.00e+00  -         -         1.19e-07   -     -         -         4.33e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      25     0.00e+00  -         -         5.96e-08   -     -         -         2.17e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      26     0.00e+00  -         -         2.98e-08   -     -         -         1.08e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      27     0.00e+00  -         -         1.49e-08   -     -         -         5.41e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      28     0.00e+00  -         -         7.45e-09   -     -         -         2.71e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      29     0.00e+00  -         -         3.73e-09   -     -         -         1.35e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      30     0.00e+00  -         -         1.86e-09   -     -         -         6.77e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      31     0.00e+00  -         -         9.31e-10   -     -         -         3.38e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      32     0.00e+00  -         -         4.66e-10   -     -         -         1.69e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      33     0.00e+00  -         -         2.33e-10   -     -         -         8.46e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      34     0.00e+00  -         -         1.16e-10   -     -         -         4.23e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      35     0.00e+00  -         -         5.82e-11   -     -         -         2.11e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      36     0.00e+00  -         -         2.91e-11   -     -         -         1.06e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      37     0.00e+00  -         -         1.46e-11   -     -         -         5.29e-08  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      38     0.00e+00  -         -         7.28e-12   -     -         -         2.64e-08  -1.663e+00 8.31e+00  8.87e+02  5.01e+00  ✔ (Armijo)    
 25     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.06e+03  -1.667e+00 8.65e+00  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         1.03e+03  -1.665e+00 8.02e+00  -         -         ✘ (Armijo)    
 -      3      0.00e+00  -         -         2.50e-01   -     -         -         5.14e+02  -1.664e+00 8.16e+00  -         -         ✘ (Armijo)    
 -      4      0.00e+00  -         -         1.25e-01   -     -         -         2.57e+02  -1.664e+00 8.24e+00  -         -         ✘ (Armijo)    
 -      5      0.00e+00  -         -         6.25e-02   -     -         -         1.29e+02  -1.664e+00 8.27e+00  -         -         ✘ (Armijo)    
 -      6      0.00e+00  -         -         3.12e-02   -     -         -         6.43e+01  -1.663e+00 8.29e+00  -         -         ✘ (Armijo)    
 -      7      0.00e+00  -         -         1.56e-02   -     -         -         3.21e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      8      0.00e+00  -         -         7.81e-03   -     -         -         1.61e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      9      0.00e+00  -         -         3.91e-03   -     -         -         8.03e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      10     0.00e+00  -         -         1.95e-03   -     -         -         4.02e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      11     0.00e+00  -         -         9.77e-04   -     -         -         2.01e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      12     0.00e+00  -         -         4.88e-04   -     -         -         1.00e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      13     0.00e+00  -         -         2.44e-04   -     -         -         5.02e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      14     0.00e+00  -         -         1.22e-04   -     -         -         2.51e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      15     0.00e+00  -         -         6.10e-05   -     -         -         1.26e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      16     0.00e+00  -         -         3.05e-05   -     -         -         6.28e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      17     0.00e+00  -         -         1.53e-05   -     -         -         3.14e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      18     0.00e+00  -         -         7.63e-06   -     -         -         1.57e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      19     0.00e+00  -         -         3.81e-06   -     -         -         7.84e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      20     0.00e+00  -         -         1.91e-06   -     -         -         3.92e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      21     0.00e+00  -         -         9.54e-07   -     -         -         1.96e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      22     0.00e+00  -         -         4.77e-07   -     -         -         9.81e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      23     0.00e+00  -         -         2.38e-07   -     -         -         4.90e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      24     0.00e+00  -         -         1.19e-07   -     -         -         2.45e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      25     0.00e+00  -         -         5.96e-08   -     -         -         1.23e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      26     0.00e+00  -         -         2.98e-08   -     -         -         6.13e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      27     0.00e+00  -         -         1.49e-08   -     -         -         3.06e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      28     0.00e+00  -         -         7.45e-09   -     -         -         1.53e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      29     0.00e+00  -         -         3.73e-09   -     -         -         7.66e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      30     0.00e+00  -         -         1.86e-09   -     -         -         3.83e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      31     0.00e+00  -         -         9.31e-10   -     -         -         1.92e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      32     0.00e+00  -         -         4.66e-10   -     -         -         9.58e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      33     0.00e+00  -         -         2.33e-10   -     -         -         4.79e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      34     0.00e+00  -         -         1.16e-10   -     -         -         2.39e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      35     0.00e+00  -         -         5.82e-11   -     -         -         1.20e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      36     0.00e+00  -         -         2.91e-11   -     -         -         5.98e-08  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      37     0.00e+00  -         -         1.46e-11   -     -         -         2.99e-08  -1.663e+00 8.31e+00  8.87e+02  5.00e+00  ✔ (Armijo)    
 26     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.84e+03  -1.665e+00 9.19e+00  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         1.42e+03  -1.664e+00 8.13e+00  -         -         ✘ (Armijo)    
 -      3      0.00e+00  -         -         2.50e-01   -     -         -         7.11e+02  -1.664e+00 8.22e+00  -         -         ✘ (Armijo)    
 -      4      0.00e+00  -         -         1.25e-01   -     -         -         3.55e+02  -1.664e+00 8.26e+00  -         -         ✘ (Armijo)    
 -      5      0.00e+00  -         -         6.25e-02   -     -         -         1.78e+02  -1.663e+00 8.29e+00  -         -         ✘ (Armijo)    
 -      6      0.00e+00  -         -         3.12e-02   -     -         -         8.88e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      7      0.00e+00  -         -         1.56e-02   -     -         -         4.44e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      8      0.00e+00  -         -         7.81e-03   -     -         -         2.22e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      9      0.00e+00  -         -         3.91e-03   -     -         -         1.11e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      10     0.00e+00  -         -         1.95e-03   -     -         -         5.55e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      11     0.00e+00  -         -         9.77e-04   -     -         -         2.78e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      12     0.00e+00  -         -         4.88e-04   -     -         -         1.39e+00  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      13     0.00e+00  -         -         2.44e-04   -     -         -         6.94e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      14     0.00e+00  -         -         1.22e-04   -     -         -         3.47e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      15     0.00e+00  -         -         6.10e-05   -     -         -         1.73e-01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      16     0.00e+00  -         -         3.05e-05   -     -         -         8.67e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      17     0.00e+00  -         -         1.53e-05   -     -         -         4.34e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      18     0.00e+00  -         -         7.63e-06   -     -         -         2.17e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      19     0.00e+00  -         -         3.81e-06   -     -         -         1.08e-02  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      20     0.00e+00  -         -         1.91e-06   -     -         -         5.42e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      21     0.00e+00  -         -         9.54e-07   -     -         -         2.71e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      22     0.00e+00  -         -         4.77e-07   -     -         -         1.36e-03  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      23     0.00e+00  -         -         2.38e-07   -     -         -         6.78e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      24     0.00e+00  -         -         1.19e-07   -     -         -         3.39e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      25     0.00e+00  -         -         5.96e-08   -     -         -         1.69e-04  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      26     0.00e+00  -         -         2.98e-08   -     -         -         8.47e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      27     0.00e+00  -         -         1.49e-08   -     -         -         4.24e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      28     0.00e+00  -         -         7.45e-09   -     -         -         2.12e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      29     0.00e+00  -         -         3.73e-09   -     -         -         1.06e-05  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      30     0.00e+00  -         -         1.86e-09   -     -         -         5.29e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      31     0.00e+00  -         -         9.31e-10   -     -         -         2.65e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      32     0.00e+00  -         -         4.66e-10   -     -         -         1.32e-06  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      33     0.00e+00  -         -         2.33e-10   -     -         -         6.62e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      34     0.00e+00  -         -         1.16e-10   -     -         -         3.31e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      35     0.00e+00  -         -         5.82e-11   -     -         -         1.65e-07  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      36     0.00e+00  -         -         2.91e-11   -     -         -         8.27e-08  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
 -      37     0.00e+00  -         -         1.46e-11   -     -         -         4.14e-08  -1.663e+00 8.31e+00  8.87e+02  5.00e+00  ✔ (Armijo)    
 27     1      0.00e+00  1.00e-01  -         1.00e+00   FEAS  0.00e+00  -         2.40e+03  -1.666e+00 8.89e+00  -         -         ✘ (Armijo)    
 -      2      0.00e+00  -         -         5.00e-01   -     -         -         1.20e+03  -1.665e+00 8.06e+00  -         -         ✘ (Armijo)    
 -      3      0.00e+00  -         -         2.50e-01   -     -         -         5.99e+02  -1.664e+00 8.19e+00  -         -         ✘ (Armijo)    
 -      4      0.00e+00  -         -         1.25e-01   -     -         -         3.00e+02  -1.664e+00 8.25e+00  -         -         ✘ (Armijo)    
 -      5      0.00e+00  -         -         6.25e-02   -     -         -         1.50e+02  -1.663e+00 8.28e+00  -         -         ✘ (Armijo)    
 -      6      0.00e+00  -         -         3.12e-02   -     -         -         7.49e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      7      0.00e+00  -         -         1.56e-02   -     -         -         3.75e+01  -1.663e+00 8.30e+00  -         -         ✘ (Armijo)    
 -      8      0.00e+00  -         -         7.81e-03   -     -         -         1.87e+01  -1.663e+00 8.31e+00  -         -         ✘ (Armijo)    
