$ /home/sdinh/sandbox/OptiUNO/external/uno/bin/uno_ampl /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs043.nl constraint_relaxation_strategy=feasibility_restoration inequality_handling_method=interior_point hessian_model=exact inertia_correction_strategy=none globalization_mechanism=TR globalization_strategy=fletcher_filter_method time_limit=20.0

Automatically picked the filtersqp preset
Original model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs043.nl
4 variables, 3 constraints (0 equality, 3 inequality)
Problem type: NLP
Reformulated model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs043.nl -> no fixed bounds -> equality constrained -> bounds relaxed
7 variables, 3 constraints (3 equality, 0 inequality)

Non-default options:
QP_solver = BQPD

──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Iterations
 Major  Minor  Penalty   Barrier   Barrier   Radius    Phase ||Step||  Objective  Infeas    Statio    Compl     Status        
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 0      -      -         -         -         1.00e+01  OPT   -         0.000e+00  0.00e+00  2.33e+01  1.37e+01  initial point 
 13     1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  3.575e+02  2.92e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  1.662e+02  1.12e+02  -         -         ✘ (filter)    
 -      3      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  5.354e+01  3.09e+01  -nan      1.41e-11  ✔ (h-type)    
 14     1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  3.392e+01  5.62e+01  -nan      1.41e-11  ✔ (h-type)    
 15     1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  8.111e+02  7.63e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  3.409e+02  2.44e+02  -         -         ✘ (filter)    
 -      3      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  7.211e+01  3.93e+01  -nan      1.41e-11  ✔ (h-type)    
 16     1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  -3.728e+01 8.82e+01  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  -2.127e+01 4.20e+01  -nan      1.41e-11  ✔ (h-type)    
 17     1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  4.357e+01  1.46e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  5.233e+00  4.38e+01  -nan      1.41e-11  ✔ (h-type)    
 18     1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  -5.323e+00 7.84e+00  -nan      1.41e-11  ✔ (h-type)    
 19     1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  5.054e+02  4.11e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  1.945e+02  1.17e+02  -         -         ✘ (filter)    
 -      3      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  7.147e+01  3.11e+01  -nan      1.41e-11  ✔ (h-type)    
 20     1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  2.818e+01  7.04e+01  -nan      1.41e-11  ✔ (h-type)    
 21     1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  -2.080e+01 4.86e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  3.163e+01  1.59e+01  -nan      1.00e-11  ✔ (h-type)    
 22     1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  1.062e+02  2.62e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  5.090e+01  5.77e+01  -nan      1.00e-11  ✔ (h-type)    
 23     1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  1.692e+02  2.01e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  6.453e+01  2.47e+01  -nan      1.41e-11  ✔ (h-type)    
 24     1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  1.499e+02  9.45e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  2.656e+02  3.83e+02  -         -         ✘ (filter)    
 -      3      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  1.218e+02  6.93e+01  -nan      1.41e-11  ✔ (h-type)    
 25     1      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  8.512e+01  2.46e+01  -nan      1.41e-11  ✔ (h-type)    
 26     1      -         1.00e-01  -         1.24e+01  OPT   1.24e+01  1.953e+02  5.85e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         6.22e+00  OPT   6.22e+00  1.205e+02  2.02e+02  -         -         ✘ (filter)    
 -      3      -         1.00e-01  -         3.11e+00  OPT   3.11e+00  5.260e+01  4.28e+01  -nan      1.41e-11  ✔ (h-type)    
 27     1      -         1.00e-01  -         6
