number,name,classification,N,M,Nnl,Mnl,Nz,Fbest_raw,Fbest,feasible,in_uno_429_subset,mod_file_available,gms_file_available,dag_file_available,res_file_available,nl_file_available,nl_conversion_status,other_files,detail_page
2089,bt9,LOR2-AN,4,2,3,2,7,-1.0000000,-1.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/bt9.htm
2090,byrdsphr,LQR2-AN,3,2,3,2,9,-4.6833000,-4.6833,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/byrdsphr.htm
2091,camel6,OBR2-AN,2,2,2,0,2,-1.0316000,-1.0316,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/camel6.htm
2092,cantilvr,LOR2-MN,5,1,5,1,10,1.3400000,1.34,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cantilvr.htm
2093,catena,LQR2-AY,36,11,32,11,73,-23077.7753000,-23077.7753,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/catena.htm
2094,catenary,LQR2-AY,501,166,496,166,992,-345186.6771000,-345186.6771,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/catenary.htm
2095,cb2,LOR2-AN,3,3,2,3,10,1.9522000,1.9522,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cb2.htm
2096,cb3,LOR2-AN,3,3,2,3,10,2.0000000,2.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cb3.htm
2097,cbratu2d,NOR2-MN,1058,882,882,882,5124,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cbratu2d.htm
2098,cbratu3d,NOR2-MN,2000,1024,1024,1024,7424,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cbratu3d.htm
2099,chaconn1,LOR2-AY,3,3,2,3,10,1.9522000,1.9522,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/chaconn1.htm
2100,chaconn2,LOR2-AY,3,3,2,3,10,2.0000000,2.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/chaconn2.htm
2101,chainwoo,SUR2-AN,1000,0,1000,0,1000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/chainwoo.htm
2102,chandheq,OQR2-AY,100,100,100,100,10000,0.0000000,0.0,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/chandheq.htm
2103,chebyqad,SBR2-AN,50,0,50,0,50,,,,True,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/chebyqad.htm
2104,chenhark,QBR2-AN,1000,0,1000,0,1000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/chenhark.htm
2105,chnrosnb,SUR2-AN,50,0,50,0,50,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/chnrosnb.htm
2106,cliff,OUR2-AN,2,0,2,0,2,0.1998000,0.1998,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cliff.htm
2107,clnlbeam,OOR2-MN,1503,1000,1000,500,4994,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/clnlbeam.htm
2108,clplatea,OXR2-MN,5041,0,4970,0,4970,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/clplatea.htm
2109,clplateb,OXR2-MN,5041,0,4970,0,4970,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/clplateb.htm
2110,clplatec,OXR2-MN,5041,0,4970,0,4970,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/clplatec.htm
2111,cluster,NOR2-AN,2,2,2,2,4,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cluster.htm
2112,concon,LOI2-MN,15,11,11,4,33,-6373.1100000,-6373.11,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/concon.htm
2113,congigmz,LQR2-AN,3,5,2,2,14,28.0000000,28.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/congigmz.htm
2114,coolhans,NQR2-RN,27,27,9,3,45,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/coolhans.htm
2115,core1,LQI2-RN,65,115,24,24,153,91.0562000,91.0562,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/core1.htm
2116,core2,LQI2-RN,157,134,60,60,386,72.9000000,72.9,True,False,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/core2.htm
2117,corkscrw,SOR2-AN,9006,7000,3000,1000,21988,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/corkscrw.htm
2118,coshfun,LOR2-AN,61,20,60,20,119,,,,True,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/coshfun.htm
2119,cosine,OUR2-AN,10000,0,10000,0,10000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cosine.htm
2120,cragglvy,OUR2-AY,5000,0,5000,0,5000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cragglvy.htm
2121,cresc100,OOR2-MY,6,200,6,200,1103,,,,False,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cresc100.htm
2122,cresc132,OOR2-MY,6,2654,6,2654,14600,,,,False,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cresc132.htm
2123,cresc4,OOR2-MY,6,8,6,8,47,,,,True,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cresc4.htm
2124,cresc50,OOR2-MY,6,100,6,100,553,,,,False,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cresc50.htm
2125,csfi1,LOR2-RN,5,4,4,4,12,-49.0752000,-49.0752,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/csfi1.htm
2126,csfi2,LOR2-RN,5,4,4,4,12,55.0176000,55.0176,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/csfi2.htm
2127,cube,SUR2-AN,2,0,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cube.htm
2128,curly10,SUR2-AN,20000,10000,10000,0,10000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/curly10.htm
2129,curly20,SUR2-AN,20000,10000,10000,0,10000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/curly20.htm
2130,curly30,SUR2-AN,20000,10000,10000,0,10000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/curly30.htm
2131,cvxbqp1,QBR2-AN,10000,0,10000,0,10000,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cvxbqp1.htm
2132,cvxqp1,QLR2-AN,1000,500,1000,0,2498,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cvxqp1.htm
2133,cvxqp2,QLR2-AN,10000,2500,10000,0,17499,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cvxqp2.htm
2134,cvxqp3,QLR2-AN,10000,7500,10000,0,32497,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/cvxqp3.htm
2135,dallasl,ONR2-MN,906,667,821,0,2511,,,,False,True,False,False,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dallasl.htm
2136,dallasm,ONR2-MN,196,151,158,0,492,,,,False,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dallasm.htm
2137,dallass,ONR2-MN,46,31,39,0,132,,,,True,True,False,True,False,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dallass.htm
2138,deconvb,SBR2-MN,491,440,51,0,51,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/deconvb.htm
2139,deconvc,SQR2-MN,491,441,51,1,62,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/deconvc.htm
2140,deconvu,SUR2-MN,491,440,51,0,51,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/deconvu.htm
2141,degenlpa,LLR2-AN,20,14,0,0,87,3.0600000,3.06,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/degenlpa.htm
2142,degenlpb,LLR2-AN,20,15,0,0,91,-30.7315000,-30.7315,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/degenlpb.htm
2143,demymalo,LQR2-AN,3,3,2,1,10,-3.0000000,-3.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/demymalo.htm
2144,denschna,OUR2-AN,2,0,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/denschna.htm
2145,denschnb,SUR2-AN,2,0,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/denschnb.htm
2146,denschnc,SUR2-AN,2,0,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/denschnc.htm
2147,denschnd,SUR2-AN,3,0,3,0,3,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/denschnd.htm
2148,denschne,SUR2-AN,3,0,3,0,3,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/denschne.htm
2149,denschnf,SUR2-AY,2,0,2,0,2,0.0000000,0.0,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/denschnf.htm
2150,dipigri,OOR2-AN,7,4,7,4,26,680.6301000,680.6301,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/dipigri.htm
2151,disc2,LQR2-MY,28,23,28,23,82,1.5625000,1.5625,True,True,True,True,True,True,True,converted,,https://arnold-neumaier.at/glopt/coconut/Benchmark/Library2/disc2.htm
