config_hash,rep,label,options_json,n_problems,n_solved,reliability,cum_cpu_time,n_rewritten,status_counts_json
fd9aad096a06,7,var-preset-filtersqp,"{""preset"": ""filtersqp""}",123,120,0.975610,1.4903,0,"{""solved"": 120, ""unsolved"": 3}"
fd9aad096a06,8,var-preset-filtersqp,"{""preset"": ""filtersqp""}",123,120,0.975610,1.2984,0,"{""solved"": 120, ""unsolved"": 3}"
fd9aad096a06,9,var-preset-filtersqp,"{""preset"": ""filtersqp""}",123,120,0.975610,1.3460,0,"{""solved"": 120, ""unsolved"": 3}"
f8d7090416ba,1,var-preset-ipopt,"{""preset"": ""ipopt""}",123,121,0.983740,3.2669,0,"{""solved"": 121, ""unsolved"": 2}"
f8d7090416ba,2,var-preset-ipopt,"{""preset"": ""ipopt""}",123,121,0.983740,2.3349,0,"{""solved"": 121, ""unsolved"": 2}"
f8d7090416ba,3,var-preset-ipopt,"{""preset"": ""ipopt""}",123,121,0.983740,2.3647,0,"{""solved"": 121, ""unsolved"": 2}"
f8d7090416ba,4,var-preset-ipopt,"{""preset"": ""ipopt""}",123,121,0.983740,2.5885,0,"{""solved"": 121, ""unsolved"": 2}"
f8d7090416ba,5,var-preset-ipopt,"{""preset"": ""ipopt""}",123,121,0.983740,2.6952,0,"{""solved"": 121, ""unsolved"": 2}"
f8d7090416ba,6,var-preset-ipopt,"{""preset"": ""ipopt""}",123,121,0.983740,2.5682,0,"{""solved"": 121, ""unsolved"": 2}"
f8d7090416ba,7,var-preset-ipopt,"{""preset"": ""ipopt""}",123,121,0.983740,2.3565,0,"{""solved"": 121, ""unsolved"": 2}"
f8d7090416ba,8,var-preset-ipopt,"{""preset"": ""ipopt""}",123,121,0.983740,2.3846,0,"{""solved"": 121, ""unsolved"": 2}"
f8d7090416ba,9,var-preset-ipopt,"{""preset"": ""ipopt""}",123,121,0.983740,2.8927,0,"{""solved"": 121, ""unsolved"": 2}"
478ce0be3325,1,var-ingredients-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,1.5368,11,"{""solved"": 120, ""unsolved"": 3}"
478ce0be3325,2,var-ingredients-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,1.3015,11,"{""solved"": 120, ""unsolved"": 3}"
478ce0be3325,3,var-ingredients-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,0.9527,11,"{""solved"": 120, ""unsolved"": 3}"
478ce0be3325,4,var-ingredients-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,1.2124,11,"{""solved"": 120, ""unsolved"": 3}"
478ce0be3325,5,var-ingredients-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,1.5266,11,"{""solved"": 120, ""unsolved"": 3}"
478ce0be3325,6,var-ingredients-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,1.3095,11,"{""solved"": 120, ""unsolved"": 3}"
478ce0be3325,7,var-ingredients-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,1.2226,11,"{""solved"": 120, ""unsolved"": 3}"
478ce0be3325,8,var-ingredients-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,1.1761,11,"{""solved"": 120, ""unsolved"": 3}"
478ce0be3325,9,var-ingredients-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,1.7358,11,"{""solved"": 120, ""unsolved"": 3}"
bbe3df80208a,1,var-ingredients-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,114,0.926829,4.6665,11,"{""solved"": 114, ""unsolved"": 9}"
bbe3df80208a,2,var-ingredients-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,114,0.926829,5.1153,11,"{""solved"": 114, ""unsolved"": 9}"
bbe3df80208a,3,var-ingredients-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,114,0.926829,5.1861,11,"{""solved"": 114, ""unsolved"": 9}"
bbe3df80208a,4,var-ingredients-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,114,0.926829,5.1147,11,"{""solved"": 114, ""unsolved"": 9}"
bbe3df80208a,5,var-ingredients-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,114,0.926829,5.3347,11,"{""solved"": 114, ""unsolved"": 9}"
bbe3df80208a,6,var-ingredients-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,114,0.926829,5.0956,11,"{""solved"": 114, ""unsolved"": 9}"
bbe3df80208a,7,var-ingredients-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,114,0.926829,4.8623,11,"{""solved"": 114, ""unsolved"": 9}"
bbe3df80208a,8,var-ingredients-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,114,0.926829,4.7133,11,"{""solved"": 114, ""unsolved"": 9}"
bbe3df80208a,9,var-ingredients-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,114,0.926829,4.8310,11,"{""solved"": 114, ""unsolved"": 9}"
8fc5dfcb12cd,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,120,0.975610,1.5492,11,"{""solved"": 120, ""unsolved"": 3}"
d1e249277dcd,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",123,115,0.934959,23.5673,11,"{""solved"": 115, ""unsolved"": 8}"
45a4e8469303,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",123,116,0.943089,18.3124,11,"{""solved"": 116, ""unsolved"": 7}"
f777b7d6deec,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",123,0,0.000000,0.6369,11,"{""unsolved"": 123}"
8e69c1a3d54d,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,108,0.878049,3.8017,0,"{""solved"": 108, ""unsolved"": 15}"
9cc0076619ff,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",123,115,0.934959,25.5173,11,"{""solved"": 115, ""unsolved"": 8}"
ce689f3b083e,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",123,36,0.292683,60.9700,11,"{""solved"": 36, ""unsolved"": 86, ""timeout"": 1}"
a99ea787ea71,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",123,116,0.943089,18.9300,11,"{""solved"": 116, ""unsolved"": 7}"
18d75bd88861,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,119,0.967480,4.4069,11,"{""solved"": 119, ""unsolved"": 4}"
4aa64c954a5f,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,119,0.967480,1.1645,11,"{""solved"": 119, ""unsolved"": 4}"
d26f0444b264,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,0,0.000000,0.8903,11,"{""unsolved"": 123}"
e6c14c5db212,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,109,0.886179,5.7614,11,"{""solved"": 109, ""unsolved"": 14}"
e4848bcf7792,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",123,115,0.934959,19.5576,11,"{""solved"": 115, ""unsolved"": 8}"
89518bb35641,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",123,20,0.162602,0.8309,11,"{""solved"": 20, ""unsolved"": 103}"
c83f6fd4a768,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",123,35,0.284553,190.3078,11,"{""solved"": 35, ""unsolved"": 80, ""timeout"": 8}"
7a1c83c98974,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,0,0.000000,0.6368,11,"{""unsolved"": 123}"
11c0014f5c85,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,111,0.902439,13.7072,11,"{""solved"": 111, ""unsolved"": 12}"
329f99441afd,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",123,21,0.170732,1.0125,11,"{""solved"": 21, ""unsolved"": 102}"
7ab600c96523,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",123,20,0.162602,1.0201,11,"{""solved"": 20, ""unsolved"": 103}"
df36c585435d,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,0,0.000000,0.6815,11,"{""unsolved"": 123}"
67963ebc66d5,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",123,54,0.439024,49.8524,11,"{""unsolved"": 69, ""solved"": 54}"
0dbdeea2e419,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",123,0,0.000000,0.5775,11,"{""unsolved"": 123}"
a92cf1df41e9,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",123,119,0.967480,4.9496,11,"{""solved"": 119, ""unsolved"": 4}"
c91bead6dda3,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",123,115,0.934959,23.1324,11,"{""solved"": 115, ""unsolved"": 8}"
a0ca5208c1aa,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",123,107,0.869919,2.7332,11,"{""solved"": 107, ""unsolved"": 16}"
0d9f46e48939,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",123,6,0.048780,8.9124,11,"{""unsolved"": 117, ""solved"": 6}"
7ee31db5e28e,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",123,7,0.056911,10.6877,11,"{""unsolved"": 116, ""solved"": 7}"
7341f1a6858b,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,54,0.439024,49.1240,11,"{""unsolved"": 69, ""solved"": 54}"
571713f07f83,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",123,116,0.943089,7.5072,11,"{""solved"": 116, ""unsolved"": 7}"
d41192c81b98,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",123,110,0.894309,10.5665,11,"{""solved"": 110, ""unsolved"": 13}"
757a6624b860,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",123,110,0.894309,7.2806,11,"{""solved"": 110, ""unsolved"": 13}"
4ec1708db3f9,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",123,115,0.934959,2.5945,11,"{""solved"": 115, ""unsolved"": 8}"
1f9dec2e3b6a,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",123,0,0.000000,0.7098,11,"{""unsolved"": 123}"
501821428a13,0,evolve,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",123,115,0.934959,2.7562,11,"{""solved"": 115, ""unsolved"": 8}"
